10;123110303;00000125453,00;D;00000128071,00;00000002370,00;00000251154,00;D;
15;123110303;P;00000125453,00;D;00000128071,00;00000002370,00;00000251154,00;D;
10;123110405;00000032519,00;D;00000000323,70;00000000000,00;00000032842,70;D;
15;123110405;P;00000032519,00;D;00000000323,70;00000000000,00;00000032842,70;D;
10;123110501;00000142479,00;C;00000000000,00;00000000000,00;00000142479,00;C;
15;123110501;P;00000142479,00;C;00000000000,00;00000000000,00;00000142479,00;C;
10;123119908;00015571229,78;D;00000001105,44;00000000000,00;00015572335,22;D;
15;123119908;P;00015571229,78;D;00000001105,44;00000000000,00;00015572335,22;D;
10;123210599;00000161019,35;D;00000060000,00;00000000000,00;00000221019,35;D;
15;123210599;P;00000161019,35;D;00000060000,00;00000000000,00;00000221019,35;D;
10;123219905;00006015642,68;D;00000000000,00;00000000000,00;00006015642,68;D;
15;123219905;P;00006015642,68;D;00000000000,00;00000000000,00;00006015642,68;D;
10;123219999;00007500495,98;D;00001105828,71;00000018559,10;00008587765,59;D;
15;123219999;P;00007500495,98;D;00001105828,71;00000018559,10;00008587765,59;D;
10;211110101;00000061633,19;C;00005739318,60;00006166901,53;00000489216,12;C;
15;211110101;F;00000061633,19;C;00005739318,60;00006166901,53;00000489216,12;C;
10;211110303;00000000671,31;D;00000000000,00;00000000000,00;00000000671,31;D;
15;211110303;F;00000000671,31;D;00000000000,00;00000000000,00;00000000671,31;D;
10;211430101;00000076881,24;C;00000505573,73;00000404449,48;00000024243,01;D;
15;211430101;F;00000076881,24;C;00000505573,73;00000404449,48;00000024243,01;D;
10;213110101;00000000531,54;D;00000000000,00;00000000000,00;00000000531,54;D;
15;213110101;F;00000000531,54;D;00000000000,00;00000000000,00;00000000531,54;D;
10;213110102;00000032450,77;C;00000000000,00;00000000000,00;00000032450,77;C;
15;213110102;F;00000032450,77;C;00000000000,00;00000000000,00;00000032450,77;C;
10;213110103;00000035956,96;D;00000000000,00;00000000000,00;00000035956,96;D;
15;213110103;F;00000035956,96;D;00000000000,00;00000000000,00;00000035956,96;D;
